Id,ActivityDay,SedentaryMinutes,LightlyActiveMinutes,FairlyActiveMinutes,VeryActiveMinutes,SedentaryActiveDistance,LightActiveDistance,ModeratelyActiveDistance,VeryActiveDistance,TotalDistance,TotalDistanceMiles
1503960366,4/12/2016,728,328,13,25,0,6.059999943,0.5500000119,1.879999995,8.48999995,5.275439759
1503960366,4/13/2016,776,217,19,21,0,4.710000038,0.6899999976,1.570000052,6.970000088,4.330955925
1503960366,4/14/2016,1218,181,11,30,0,3.910000086,0.400000006,2.440000057,6.750000149,4.194254343
1503960366,4/15/2016,726,209,34,29,0,2.829999924,1.25999999,2.140000105,6.230000019,3.871141342
1503960366,4/16/2016,773,221,10,36,0,5.039999962,0.4099999964,2.710000038,8.159999996,5.070387358
1503960366,4/17/2016,539,164,20,38,0,2.50999999,0.7799999714,3.190000057,6.480000019,4.026484092
1503960366,4/18/2016,1149,233,16,42,0,4.710000038,0.6399999857,3.25,8.600000024,5.343790615
1503960366,4/19/2016,775,264,31,50,0,5.03000021,1.320000052,3.529999971,9.880000234,6.139145625
1503960366,4/20/2016,818,205,12,28,0,4.239999771,0.4799999893,1.960000038,6.679999799,4.150758155
1503960366,4/21/2016,838,211,8,19,0,4.650000095,0.349999994,1.340000033,6.340000123,3.939492216
1503960366,4/22/2016,1217,130,27,66,0,2.24000001,1.120000005,4.760000229,8.120000243,5.045532671
1503960366,4/23/2016,732,262,21,41,0,5.360000134,0.8700000048,2.809999943,9.040000081,5.61719389
1503960366,4/24/2016,709,238,5,39,0,3.279999971,0.2099999934,2.920000076,6.410000041,3.982988136
1503960366,4/25/2016,814,216,14,73,0,3.940000057,0.5699999928,5.289999962,9.800000012,6.089435807
1503960366,4/26/2016,833,279,23,31,0,5.539999962,0.9200000167,2.329999924,8.789999902,5.461851029
1503960366,4/27/2016,1108,243,11,78,0,5.409999847,0.4099999964,6.400000095,12.21999994,7.593153582
1503960366,4/28/2016,782,189,28,48,0,3.789999962,1.159999967,3.539999962,8.48999989,5.275439722
1503960366,4/29/2016,815,243,12,16,0,5.579999924,0.5,1.059999943,7.139999866,4.436588857
1503960366,4/30/2016,712,217,34,52,0,4.269999981,1.419999957,3.559999943,9.249999881,5.747681676
1503960366,5/1/2016,730,246,35,33,0,2.920000076,1.600000024,2.289999962,6.810000062,4.231536549
1503960366,5/2/2016,798,277,15,41,0,5.920000076,0.5699999928,3.210000038,9.700000107,6.027298767
1503960366,5/3/2016,816,254,24,50,0,4.880000114,1.049999952,3.730000019,9.660000086,6.002443913
1503960366,5/4/2016,1179,203,22,36,0,3.819999933,0.8700000048,2.460000038,7.149999976,4.442802635
1503960366,5/5/2016,857,250,24,45,0,4.880000114,1.080000043,2.920000076,8.880000234,5.517774625
1503960366,5/6/2016,754,289,6,24,0,5.809999943,0.25,1.970000029,8.029999971,4.989609112
1503960366,5/7/2016,833,175,46,37,0,3.130000114,2.119999886,2.460000038,7.710000038,4.790770434
1503960366,5/8/2016,574,203,8,44,0,2.730000019,0.3199999928,3.529999971,6.579999983,4.08862117
1503960366,5/9/2016,835,206,11,46,0,3.74000001,0.5299999714,3.450000048,7.720000029,4.796984138
1503960366,5/10/2016,746,214,31,46,0,3.25999999,1.159999967,3.349999905,7.769999862,4.828052584
1503960366,5/11/2016,669,251,23,36,0,4.550000191,1.00999999,2.559999943,8.120000124,5.045532597
1503960366,5/12/2016,1440,0,0,0,0,0,0,0,0,0
1624580081,4/12/2016,1294,146,0,0,0,5.309999943,0,0,5.309999943,3.299479974
1624580081,4/13/2016,1292,148,0,0,0,4.550000191,0,0,4.550000191,2.827238169
1624580081,4/14/2016,1204,236,0,0,0.009999999776,5.909999847,0,0,5.909999847,3.672302515
1624580081,4/15/2016,1344,96,0,0,0,0.9700000286,0,0,0.9700000286,0.6027298878
1624580081,4/16/2016,1264,176,0,0,0,3.49000001,0,0,3.49000001,2.168584796
1624580081,4/17/2016,1276,127,22,15,0.009999999776,1.49000001,1.519999981,1.029999971,4.039999962,2.510338816
1624580081,4/18/2016,1214,202,7,17,0.009999999776,4.619999886,0.6200000048,2.150000095,7.389999986,4.591931681
1624580081,4/19/2016,1299,141,0,0,0,1.899999976,0,0,1.899999976,1.180604885
1624580081,4/20/2016,1289,151,0,0,0,3.230000019,0,0,3.230000019,2.007028342
1624580081,4/21/2016,1254,186,0,0,0.01999999955,4.110000134,0,0,4.110000134,2.553834893
1624580081,4/22/2016,1241,199,0,0,0,2.599999905,0,0,2.599999905,1.615564541
1624580081,4/23/2016,1213,227,0,0,0.009999999776,5.539999962,0,0,5.539999962,3.442395316
1624580081,4/24/2016,1221,185,18,16,0,1.889999986,0.9100000262,1.149999976,3.949999988,2.454415443
1624580081,4/25/2016,1238,202,0,0,0.01999999955,4.199999809,0,0,4.199999809,2.609758081
1624580081,4/26/2016,1300,140,0,0,0.009999999776,1.830000043,0,0,1.830000043,1.137108957
1624580081,4/27/2016,1233,154,36,17,0,2.460000038,1.870000005,1.110000014,5.440000057,3.380258276
1624580081,4/28/2016,1320,115,5,0,0,1.600000024,0.200000003,0,1.800000027,1.118467817
1624580081,4/29/2016,1290,150,0,0,0,1.549999952,0,0,1.549999952,0.9631250204
1624580081,4/30/2016,1182,224,23,11,0.009999999776,2.119999886,1.279999971,0.8999999762,4.299999833,2.671895196
1624580081,5/1/2016,1020,171,63,186,0.01999999955,1.909999967,4.190000057,21.92000008,28.0200001,17.41081548
1624580081,5/2/2016,1261,166,6,7,0,3.470000029,0.5899999738,0.8600000143,4.920000017,3.05714533
1624580081,5/3/2016,1344,96,0,0,0.01999999955,1.340000033,0,0,1.340000033,0.8326371607
1624580081,5/4/2016,1322,118,0,0,0,1.419999957,0,0,1.419999957,0.8823467933
1624580081,5/5/2016,1323,117,0,0,0.01999999955,1.580000043,0,0,1.580000043,0.9817662067
1624580081,5/6/2016,1338,102,0,0,0.009999999776,1.120000005,0,0,1.120000005,0.695935523
1624580081,5/7/2016,1258,182,0,0,0,1.370000005,0,0,1.370000005,0.851278273
1624580081,5/8/2016,1288,152,0,0,0,2.220000029,0,0,2.220000029,1.379443638
1624580081,5/9/2016,1349,91,0,0,0,1.129999995,0,0,1.129999995,0.702149227
1624580081,5/10/2016,1301,139,0,0,0.009999999776,1.919999957,0,0,1.919999957,1.193032293
1624580081,5/11/2016,1328,112,0,0,0,2.039999962,0,0,2.039999962,1.267596816
1624580081,5/12/2016,890,107,0,0,0.009999999776,1.919999957,0,0,1.919999957,1.193032293
1644430081,4/12/2016,1131,256,51,2,0,5.329999924,2.299999952,0.1400000006,7.769999877,4.828052593
1644430081,4/13/2016,1259,135,16,30,0,2.640000105,0.8999999762,2.279999971,5.820000052,3.616379253
1644430081,4/14/2016,1125,252,58,5,0,5.099999905,2.559999943,0.3600000143,8.019999862,4.983395334
1644430081,4/15/2016,1263,170,4,3,0,3.450000048,0.150000006,0.2199999988,3.820000052,2.373637253
1644430081,4/16/2016,1135,212,42,51,0,5.090000153,1.879999995,4.099999905,11.07000005,6.878577003
1644430081,4/17/2016,1212,186,13,29,0,3.549999952,0.5699999928,2.25,6.369999945,3.958133236
1644430081,4/18/2016,1271,121,33,15,0,2.450000048,1.669999957,1.070000052,5.190000057,3.224915526
1644430081,4/19/2016,1099,278,58,5,0,5.300000191,2.529999971,0.3600000143,8.190000176,5.0890286
1644430081,4/20/2016,1315,125,0,0,0.009999999776,1.75999999,0,0,1.75999999,1.093612954
1644430081,4/21/2016,1402,38,0,0,0.009999999776,0.8799999952,0,0,0.8799999952,0.546806477
1644430081,4/22/2016,1354,86,0,0,0.009999999776,2.660000086,0,0,2.660000086,1.652846913
1644430081,4/23/2016,1265,160,15,0,0,4.25,0.5799999833,0,4.829999983,3.00122192
1644430081,4/24/2016,1351,89,0,0,0,2.410000086,0,0,2.410000086,1.497504163
1644430081,4/25/2016,1337,94,1,8,0,1.950000048,0.05999999866,0.5899999738,2.60000002,1.615564612
1644430081,4/26/2016,1165,223,41,11,0,4.690000057,1.720000029,0.8000000119,7.210000098,4.480084971
1644430081,4/27/2016,1322,118,0,0,0,2.200000048,0,0,2.200000048,1.36701623
1644430081,4/28/2016,1157,227,53,3,0,4.309999943,2.319999933,0.200000003,6.829999879,4.243963855
1644430081,4/29/2016,1193,120,0,0,0,2.309999943,0,0,2.309999943,1.435366974
1644430081,4/30/2016,816,402,71,9,0,9.460000038,3.140000105,0.6299999952,13.23000014,8.220738416
1644430081,5/1/2016,908,146,24,3,0,3.230000019,0.9900000095,0.2399999946,4.460000023,2.771314674
1644430081,5/2/2016,682,148,7,1,0,2.349999905,0.3100000024,0.0700000003,2.729999907,1.696342772
1644430081,5/3/2016,1115,221,94,10,0,4.539999962,4.090000153,0.7200000286,9.350000143,5.809818939
1644430081,5/4/2016,1388,52,0,0,0.01999999955,1.659999967,0,0,1.659999967,1.031475839
1644430081,5/5/2016,1341,81,12,6,0.009999999776,2.130000114,0.5400000215,0.5199999809,3.190000117,1.982173563
1644430081,5/6/2016,1054,369,6,11,0.01999999955,6.010000229,0.2700000107,0.8199999928,7.100000232,4.411734244
1644430081,5/7/2016,1139,243,17,41,0.009999999776,5.670000076,0.7900000215,3.25999999,9.720000088,6.039726175
1644430081,5/8/2016,991,295,0,0,0,4.880000114,0,0,4.880000114,3.032290551
1644430081,5/9/2016,1099,303,6,32,0.009999999776,2.089999914,0.349999994,2.390000105,4.830000013,3.001221938
1644430081,5/10/2016,1254,155,19,12,0.009999999776,4.96999979,0.8100000024,0.8799999952,6.659999788,4.138330728
1644430081,5/11/2016,713,49,0,0,0.009999999776,0.9499999881,0,0,0.9499999881,0.5903024426
1844505072,4/12/2016,1101,339,0,0,0,4.429999828,0,0,4.429999828,2.752673423
1844505072,4/13/2016,1192,248,0,0,0,3.25999999,0,0,3.25999999,2.025669454
1844505072,4/14/2016,843,373,0,0,0,5.230000019,0,0,5.230000019,3.249770342
1844505072,4/15/2016,527,176,0,0,0,2.539999962,0,0,2.539999962,1.578282316
1844505072,4/16/2016,1293,147,0,0,0,2.25999999,0,0,2.25999999,1.404298454
1844505072,4/17/2016,1231,199,8,2,0,2.589999914,0.2599999905,0.1400000006,2.989999905,1.857899231
1844505072,4/18/2016,1211,217,12,0,0,2.559999943,0.4799999893,0,3.039999932,1.888967798
1844505072,4/19/2016,1430,10,0,0,0,0.1299999952,0,0,0.1299999952,0.08077822704
1844505072,4/20/2016,1439,1,0,0,0,0.009999999776,0,0,0.009999999776,0.006213709861
1844505072,4/21/2016,1117,308,13,2,0,4.679999828,0.5199999809,0.1199999973,5.319999807,3.3056936
1844505072,4/22/2016,1220,220,0,0,0,3.549999952,0,0,3.549999952,2.20586702
1844505072,4/23/2016,1301,139,0,0,0,2.359999895,0,0,2.359999895,1.466435495
1844505072,4/24/2016,1440,0,0,0,0,0,0,0,0,0
1844505072,4/25/2016,1440,0,0,0,0,0,0,0,0,0
1844505072,4/26/2016,1440,0,0,0,0,0,0,0,0,0
1844505072,4/27/2016,1439,1,0,0,0,0,0,0,0,0
1844505072,4/28/2016,1138,302,0,0,0,4.559999943,0,0,4.559999943,2.833451724
1844505072,4/29/2016,1082,247,0,0,0,3.25,0,0,3.25,2.01945575
1844505072,4/30/2016,218,184,0,0,0,2.650000095,0,0,2.650000095,1.646633209
1844505072,5/1/2016,585,75,7,0,0,1.450000048,0.2599999905,0,1.710000038,1.062544434
1844505072,5/2/2016,1440,0,0,0,0,0,0,0,0,0
1844505072,5/3/2016,1256,184,0,0,0,2.680000067,0,0,2.680000067,1.665274321
1844505072,5/4/2016,1353,87,0,0,0,1.370000005,0,0,1.370000005,0.851278273
1844505072,5/5/2016,1320,120,0,0,0,1.480000019,0,0,1.480000019,0.9196290919
1844505072,5/6/2016,1438,2,0,0,0,0.02999999933,0,0,0.02999999933,0.01864112958
1844505072,5/7/2016,1440,0,0,0,0,0,0,0,0,0
1844505072,5/8/2016,1440,0,0,0,0,0,0,0,0,0
1844505072,5/9/2016,1440,0,0,0,0,0,0,0,0,0
1844505072,5/10/2016,1440,0,0,0,0,0,0,0,0,0
1844505072,5/11/2016,1440,0,0,0,0,0,0,0,0,0
1844505072,5/12/2016,711,0,0,0,0,0,0,0,0,0
1927972279,4/12/2016,734,55,0,0,0,0.4699999988,0,0,0.4699999988,0.2920443693
1927972279,4/13/2016,986,32,0,0,0,0.25,0,0,0.25,0.15534275
1927972279,4/14/2016,1292,88,9,0,0,1.100000024,0.400000006,0,1.50000003,0.9320565185
1927972279,4/15/2016,941,51,0,0,0,0.6800000072,0,0,0.6800000072,0.4225322844
1927972279,4/16/2016,1440,0,0,0,0,0,0,0,0,0
1927972279,4/17/2016,1440,0,0,0,0,0,0,0,0,0
1927972279,4/18/2016,1423,17,0,0,0,0.1700000018,0,0,0.1700000018,0.1056330711
1927972279,4/19/2016,1440,0,0,0,0,0,0,0,0,0
1927972279,4/20/2016,1440,0,0,0,0,0,0,0,0,0
1927972279,4/21/2016,1440,0,0,0,0,0,0,0,0,0
1927972279,4/22/2016,1430,10,0,0,0,0.1000000015,0,0,0.1000000015,0.06213710093
1927972279,4/23/2016,1295,145,0,0,0,2.039999962,0,0,2.039999962,1.267596816
1927972279,4/24/2016,1358,75,6,1,0,1.139999986,0.2399999946,0.0700000003,1.449999981,0.900987938
1927972279,4/25/2016,1303,12,0,0,0,0.1099999994,0,0,0.1099999994,0.06835080963
1927972279,4/26/2016,1058,192,0,0,0,2.599999905,0,0,2.599999905,1.615564541
1927972279,4/27/2016,1440,0,0,0,0,0,0,0,0,0
1927972279,4/28/2016,1167,95,0,0,0,1.159999967,0,0,1.159999967,0.7207903393
1927972279,4/29/2016,1440,0,0,0,0,0,0,0,0,0
1927972279,4/30/2016,1440,0,0,0,0,0,0,0,0,0
1927972279,5/1/2016,1355,70,1,14,0,0.8299999833,0.02999999933,1.00999999,1.869999973,1.161963753
1927972279,5/2/2016,1322,94,8,16,0,1.159999967,0.3000000119,1.159999967,2.619999945,1.627991986
1927972279,5/3/2016,1413,17,0,10,0,0.1800000072,0,0.7300000191,0.9100000262,0.5654476263
1927972279,5/4/2016,1353,87,0,0,0,1.24000001,0,0,1.24000001,0.7705000459
1927972279,5/5/2016,1440,0,0,0,0,0,0,0,0,0
1927972279,5/6/2016,1332,108,0,0,0,1.450000048,0,0,1.450000048,0.9009879796
1927972279,5/7/2016,1392,48,0,0,0,1.039999962,0,0,1.039999962,0.6462258163
1927972279,5/8/2016,1440,0,0,0,0,0,0,0,0,0
1927972279,5/9/2016,1440,0,0,0,0,0,0,0,0,0
1927972279,5/10/2016,1440,0,0,0,0,0,0,0,0,0
1927972279,5/11/2016,1440,0,0,0,0,0,0,0,0,0
