Id,sedentary_minutes,asleep_minutes
1503960366,848.16129032258061,360.27999999999992
1644430081,1161.8666666666661,293.99999999999994
1844505072,1206.6129032258063,652.00000000000011
1927972279,1317.4193548387093,416.99999999999989
2026352035,689.41935483870907,506.17857142857105
2320127002,1220.0967741935483,61.0
2347167796,687.16666666666663,446.80000000000052
3977333714,707.53333333333376,293.64285714285739
4020332650,1237.2580645161293,349.37499999999994
4319703577,735.80645161290329,476.65384615384619
4388161847,836.67741935483821,403.12499999999966
4445114986,829.9032258064525,385.1785714285715
4558609924,1093.6129032258063,127.60000000000007
4702921684,766.4193548387093,421.14285714285717
5553957443,668.35483870967835,463.48387096774155
5577150313,754.43333333333339,432.00000000000017
6117666160,796.28571428571388,478.77777777777783
6775888955,1299.4230769230771,349.66666666666657
6962181067,662.32258064516145,448.00000000000023
7007744171,1055.346153846154,68.5
7086361926,850.4516129032254,453.12500000000017
8053475328,1147.9999999999995,296.99999999999983
8378563200,716.12903225806372,443.3437499999996
8792009665,1060.4827586206893,435.66666666666686
